local_time (IST),state,city,station_name,id,latitude,longitude,AT (degC),RH (%),PM2_5 (ug/m3),PM10 (ug/m3),CO2 (PPM)
30/03/2025 03:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,23.39,30.14,37.95,50.34,404.1
30/03/2025 03:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,26.98,26.98,32.5,108.97,401.0
30/03/2025 04:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,26.9,25.86,30.0,84.95,405.68
30/03/2025 04:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,95.0,700.0,1000.0,5000.0
30/03/2025 04:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,22.13,31.46,30.0,84.86,426.28
30/03/2025 04:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,22.77,32.02,33.3,45.24,409.98
30/03/2025 04:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,26.47,28.65,36.88,91.83,401.0
30/03/2025 05:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,26.12,27.76,26.8,82.44,406.02
30/03/2025 05:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,69.37,451.64,651.04,5000.0
30/03/2025 05:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,21.59,33.14,33.14,88.78,410.0
30/03/2025 05:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,22.17,33.7,35.6,47.53,410.07
30/03/2025 05:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,25.96,29.78,44.33,94.46,412.44
30/03/2025 06:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,25.81,28.85,33.41,99.11,405.97
30/03/2025 06:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,38.59,228.4,341.39,5000.0
30/03/2025 06:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,21.54,33.83,33.41,99.1,410.0
30/03/2025 06:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,21.95,34.51,34.57,90.69,418.63
30/03/2025 06:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,25.64,30.9,38.05,104.2,401.0
30/03/2025 07:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,26.63,27.76,36.32,119.77,405.93
30/03/2025 07:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,84.66,613.63,879.6,5000.0
30/03/2025 07:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,22.9,31.7,34.38,118.08,409.57
30/03/2025 07:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,22.66,33.87,38.38,62.5,409.46
30/03/2025 07:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,25.95,30.83,36.57,120.8,414.85
30/03/2025 08:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,28.33,27.11,38.54,139.13,405.34
30/03/2025 08:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,91.93,674.65,964.91,4580.57
30/03/2025 08:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,26.68,27.47,36.63,137.27,409.3
30/03/2025 08:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,24.84,32.36,43.77,75.67,409.02
30/03/2025 08:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,27.78,30.5,33.04,133.65,401.0
30/03/2025 09:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,31.36,23.31,38.72,133.12,404.56
30/03/2025 09:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,83.92,611.51,876.62,4571.62
30/03/2025 09:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,30.1,22.76,38.1,132.47,408.53
30/03/2025 09:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,27.71,28.03,34.86,59.91,409.0
30/03/2025 09:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,30.45,27.76,33.09,127.53,418.6
30/03/2025 10:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,34.56,19.11,36.24,113.75,404.03
30/03/2025 10:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,95.0,700.0,1000.0,5000.0
30/03/2025 10:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,33.19,18.21,38.96,116.26,408.05
30/03/2025 10:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,30.45,22.89,34.3,64.56,409.0
30/03/2025 10:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,32.53,24.01,34.13,111.64,400.0
30/03/2025 11:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,37.46,15.94,27.16,124.19,403.57
30/03/2025 11:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,95.0,700.0,1000.0,4915.38
30/03/2025 11:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,36.4,14.97,26.52,123.57,407.98
30/03/2025 11:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,33.13,19.56,26.32,52.87,409.0
30/03/2025 11:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,34.26,21.78,27.13,124.19,400.0
30/03/2025 12:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,39.43,13.16,29.93,120.94,428.89
30/03/2025 12:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,95.0,700.0,1000.0,3381.37
30/03/2025 12:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,38.24,12.35,25.24,116.17,407.8
30/03/2025 12:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,34.98,16.49,21.52,49.92,409.0
30/03/2025 12:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,36.51,18.91,22.78,113.7,400.0
30/03/2025 13:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,41.54,11.35,16.57,70.38,403.5
30/03/2025 13:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,95.0,700.0,1000.0,5000.0
30/03/2025 13:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,39.94,10.98,17.19,72.64,407.16
